{'股票名称': 'R007', '股票代码': '201001', '价格': '2.48', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': 'R091', '股票代码': '201004', '价格': '4.45', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': 'R182', '股票代码': '201005', '价格': '3.80', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': 'R014', '股票代码': '201002', '价格': '3.00', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': 'RC003', '股票代码': '202003', '价格': '1.80', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': 'R002', '股票代码': '201009', '价格': '1.67', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': 'R004', '股票代码': '201010', '价格': '4.18', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': 'RC007', '股票代码': '202007', '价格': '2.20', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': 'R003', '股票代码': '201000', '价格': '2.00', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': 'R028', '股票代码': '201003', '价格': '2.30', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': '0504R007', '股票代码': '203016', '价格': '100.00', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': 'RC001', '股票代码': '202001', '价格': '1.98', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': '0504R028', '股票代码': '203017', '价格': '100.00', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': '0504R091', '股票代码': '203018', '价格': '100.00', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': '0512R028', '股票代码': '203041', '价格': '100.00', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': '0512R091', '股票代码': '203042', '价格': '100.00', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': '0603R007', '股票代码': '203052', '价格': '100.00', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': '0603R028', '股票代码': '203053', '价格': '100.00', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': 'GC002', '股票代码': '204002', '价格': '2.71', '升跌': '+0.09', '涨跌幅': '+3.43%'}
{'股票名称': 'GC001', '股票代码': '204001', '价格': '2.79', '升跌': '+0.14', '涨跌幅': '+5.49%'}
{'股票名称': 'GC004', '股票代码': '204004', '价格': '2.74', '升跌': '+0.07', '涨跌幅': '+2.62%'}
{'股票名称': 'GC007', '股票代码': '204007', '价格': '2.91', '升跌': '+0.20', '涨跌幅': '+7.38%'}
{'股票名称': 'GC091', '股票代码': '204091', '价格': '3.20', '升跌': '+0.01', '涨跌幅': '+0.47%'}
{'股票名称': 'GC014', '股票代码': '204014', '价格': '2.87', '升跌': '+0.08', '涨跌幅': '+3.05%'}
{'股票名称': 'GC182', '股票代码': '204182', '价格': '2.69', '升跌': '-0.32', '涨跌幅': '-10.63%'}
{'股票名称': '基金金泰', '股票代码': '500001', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金安信', '股票代码': '500003', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金泰和', '股票代码': '500002', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金汉盛', '股票代码': '500005', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金裕阳', '股票代码': '500006', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金兴华', '股票代码': '500008', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': 'GC028', '股票代码': '204028', '价格': '2.85', '升跌': '+0.07', '涨跌幅': '+2.70%'}
{'股票名称': '基金金元', '股票代码': '500010', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金安瑞', '股票代码': '500013', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金景阳', '股票代码': '500007', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金汉兴', '股票代码': '500015', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金裕元', '股票代码': '500016', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金金鑫', '股票代码': '500011', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金金鼎', '股票代码': '500021', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金科讯', '股票代码': '500029', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金兴业', '股票代码': '500028', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金通乾', '股票代码': '500038', '价格': '0.94', '升跌': '--', '涨跌幅': '0.00%', '最高': '--', '最低': '--', '今开': '--', '昨收': '0.94', '成交额': '--', '成交量': '--', '净值': '0.9515', '折价率': '-1.42'}
{'股票名称': '财通福瑞', '股票代码': '501028', '价格': '0.77', '升跌': '-0.01', '涨跌幅': '-0.78%', '最高': '0.77', '最低': '0.75', '今开': '0.76', '昨收': '0.77', '成交额': '1.26万', '成交量': '167手', '净值': '0.7619', '折价率': '0.54'}
{'股票名称': '添富睿C', '股票代码': '501040', '价格': '1.02', '升跌': '0.00', '涨跌幅': '-0.20%', '最高': '1.02', '最低': '1.02', '今开': '1.02', '昨收': '1.02', '成交额': '15.27万', '成交量': '1501手', '净值': '1.0322', '折价率': '-1.57'}
{'股票名称': '环境C', '股票代码': '501031', '价格': '0.55', '升跌': '-0.03', '涨跌幅': '-4.37%', '最高': '0.56', '最低': '0.55', '今开': '0.56', '昨收': '0.57', '成交额': '1.28万', '成交量': '233手', '净值': '0.5410', '折价率': '1.11'}
{'股票名称': '沪深300A', '股票代码': '501043', '价格': '0.86', '升跌': '0.00', '涨跌幅': '-0.35%', '最高': '0.88', '最低': '0.85', '今开': '0.88', '昨收': '0.86', '成交额': '35.70万', '成交量': '4160手', '净值': '0.8464', '折价率': '1.49'}
{'股票名称': '沪深300C', '股票代码': '501045', '价格': '0.87', '升跌': '-0.02', '涨跌幅': '-2.15%', '最高': '0.87', '最低': '0.86', '今开': '0.86', '昨收': '0.88', '成交额': '5.97万', '成交量': '694手', '净值': '0.8457', '折价率': '2.28'}
{'股票名称': '财通多策略福鑫', '股票代码': '501046', '价格': '0.80', '升跌': '-0.02', '涨跌幅': '-2.07%', '最高': '0.81', '最低': '0.80', '今开': '0.81', '昨收': '0.82', '成交额': '9.53万', '成交量': '1188手', '净值': '0.8416', '折价率': '-4.59'}
{'股票名称': '全指证券', '股票代码': '501047', '价格': '0.76', '升跌': '-0.02', '涨跌幅': '-2.93%', '最高': '0.79', '最低': '0.76', '今开': '0.79', '昨收': '0.79', '成交额': '1.70万', '成交量': '219手', '净值': '0.7671', '折价率': '-0.53'}
{'股票名称': '证券C', '股票代码': '501048', '价格': '0.77', '升跌': '-0.02', '涨跌幅': '-2.29%', '最高': '0.81', '最低': '0.77', '今开': '0.81', '昨收': '0.79', '成交额': '11.08万', '成交量': '1394手', '净值': '0.7662', '折价率': '0.23'}
{'股票名称': '中证500C', '股票代码': '501037', '价格': '0.69', '升跌': '-0.03', '涨跌幅': '-3.61%', '最高': '0.71', '最低': '0.69', '今开': '0.70', '昨收': '0.72', '成交额': '1.61万', '成交量': '229手', '净值': '0.6950', '折价率': '-0.14'}
{'股票名称': '50AHA', '股票代码': '501050', '价格': '1.10', '升跌': '-0.01', '涨跌幅': '-1.08%', '最高': '1.12', '最低': '1.10', '今开': '1.11', '昨收': '1.11', '成交额': '177.28万', '成交量': '1.61万手', '净值': '1.0950', '折价率': '0.64'}
{'股票名称': '东证睿泽', '股票代码': '501054', '价格': '0.76', '升跌': '-0.01', '涨跌幅': '-1.56%', '最高': '0.77', '最低': '0.75', '今开': '0.77', '昨收': '0.77', '成交额': '507.87万', '成交量': '6.69万手', '净值': '0.8334', '折价率': '-9.17'}
{'股票名称': '圆信汇利', '股票代码': '501051', '价格': '0.81', '升跌': '0.00', '涨跌幅': '-0.61%', '最高': '0.82', '最低': '0.81', '今开': '0.82', '昨收': '0.82', '成交额': '3366', '成交量': '41手', '净值': '0.8032', '折价率': '1.47'}
{'股票名称': '新能源车', '股票代码': '501057', '价格': '0.78', '升跌': '-0.02', '涨跌幅': '-2.37%', '最高': '0.79', '最低': '0.75', '今开': '0.79', '昨收': '0.80', '成交额': '9.54万', '成交量': '1233手', '净值': '0.7798', '折价率': '0.28'}
{'股票名称': '东证目优', '股票代码': '501053', '价格': '0.97', '升跌': '+0.04', '涨跌幅': '+3.97%', '最高': '0.97', '最低': '0.93', '今开': '0.97', '昨收': '0.93', '成交额': '1881', '成交量': '20手', '净值': '1.0103', '折价率': '-4.09'}
{'股票名称': '东证睿玺', '股票代码': '501049', '价格': '0.80', '升跌': '-0.01', '涨跌幅': '-1.84%', '最高': '0.82', '最低': '0.80', '今开': '0.82', '昨收': '0.82', '成交额': '36.26万', '成交量': '4500手', '净值': '0.8100', '折价率': '-0.99'}
{'股票名称': '金选300A', '股票代码': '501060', '价格': '0.96', '升跌': '-0.02', '涨跌幅': '-2.24%', '最高': '0.97', '最低': '0.96', '今开': '0.96', '昨收': '0.98', '成交额': '6.69万', '成交量': '695手', '净值': '0.9601', '折价率': '-0.01'}
{'股票名称': '国企红利', '股票代码': '501059', '价格': '1.00', '升跌': '--', '涨跌幅': '0.00%', '最高': '--', '最低': '--', '今开': '--', '昨收': '1.00', '成交额': '--', '成交量': '--', '净值': '0.9771', '折价率': '2.04'}
{'股票名称': '海富通全球(人民币)', '股票代码': '501300', '价格': '0.99', '升跌': '0.00', '涨跌幅': '+0.41%', '最高': '1.00', '最低': '0.99', '今开': '0.99', '昨收': '0.98', '成交额': '111.03万', '成交量': '1.12万手', '净值': '0.9900', '折价率': '-0.20'}
{'股票名称': '十年国开', '股票代码': '501106', '价格': '1.08', '升跌': '--', '涨跌幅': '0.00%', '最高': '--', '最低': '--', '今开': '--', '昨收': '1.08', '成交额': '--', '成交量': '--', '净值': '1.0827', '折价率': '-0.25'}
{'股票名称': '恒生中型', '股票代码': '501303', '价格': '0.84', '升跌': '-0.01', '涨跌幅': '-1.76%', '最高': '0.84', '最低': '0.84', '今开': '0.84', '昨收': '0.85', '成交额': '5123', '成交量': '61手', '净值': '0.8486', '折价率': '-1.13'}
{'股票名称': '香港大盘A', '股票代码': '501301', '价格': '1.11', '升跌': '-0.01', '涨跌幅': '-0.72%', '最高': '1.12', '最低': '1.11', '今开': '1.12', '昨收': '1.12', '成交额': '1.72万', '成交量': '155手', '净值': '1.1099', '折价率': '0.01'}
{'股票名称': '港股高息', '股票代码': '501305', '价格': '0.84', '升跌': '-0.04', '涨跌幅': '-4.13%', '最高': '0.84', '最低': '0.84', '今开': '0.84', '昨收': '0.87', '成交额': '1.67万', '成交量': '199手', '净值': '0.8612', '折价率': '-2.93'}
{'股票名称': '金选300C', '股票代码': '501061', '价格': '0.96', '升跌': '-0.02', '涨跌幅': '-2.04%', '最高': '0.96', '最低': '0.96', '今开': '0.96', '昨收': '0.98', '成交额': '10.61万', '成交量': '1105手', '净值': '0.9596', '折价率': '0.15'}
{'股票名称': '新能车C', '股票代码': '501058', '价格': '0.77', '升跌': '-0.04', '涨跌幅': '-4.57%', '最高': '0.81', '最低': '0.76', '今开': '0.81', '昨收': '0.81', '成交额': '9.00万', '成交量': '1164手', '净值': '0.7780', '折价率': '-0.77'}
{'股票名称': '银河高股', '股票代码': '501307', '价格': '0.89', '升跌': '--', '涨跌幅': '0.00%', '最高': '--', '最低': '--', '今开': '--', '昨收': '0.89', '成交额': '--', '成交量': '--', '净值': '0.9041', '折价率': '-1.89'}
{'股票名称': '500等权', '股票代码': '502000', '价格': '0.80', '升跌': '--', '涨跌幅': '0.00%', '最高': '--', '最低': '--', '今开': '--', '昨收': '0.80', '成交额': '--', '成交量': '--', '净值': '0.7757', '折价率': '3.52'}
{'股票名称': '500等权A', '股票代码': '502001', '价格': '1.00', '升跌': '--', '涨跌幅': '0.00%', '最高': '--', '最低': '--', '今开': '--', '昨收': '1.00', '成交额': '--', '成交量': '--', '净值': '1.0447', '折价率': '-4.28'}
{'股票名称': '恒生联接A', '股票代码': '501302', '价格': '1.06', '升跌': '--', '涨跌幅': '0.00%', '最高': '--', '最低': '--', '今开': '--', '昨收': '1.06', '成交额': '--', '成交量': '--', '净值': '1.0099', '折价率': '5.26'}
{'股票名称': '价值基金', '股票代码': '501310', '价格': '0.99', '升跌': '--', '涨跌幅': '0.00%', '最高': '1.00', '最低': '0.99', '今开': '1.00', '昨收': '0.99', '成交额': '92.06万', '成交量': '9268手', '净值': '1.0013', '折价率': '-0.83'}
{'股票名称': '500等权B', '股票代码': '502002', '价格': '0.61', '升跌': '--', '涨跌幅': '0.00%', '最高': '--', '最低': '--', '今开': '--', '昨收': '0.61', '成交额': '--', '成交量': '--', '净值': '0.5068', '折价率': '21.15'}
{'股票名称': '易基军工分级', '股票代码': '502003', '价格': '1.03', '升跌': '-0.04', '涨跌幅': '-3.36%', '最高': '1.06', '最低': '1.03', '今开': '1.06', '昨收': '1.07', '成交额': '5.48万', '成交量': '526手', '净值': '1.0373', '折价率': '-0.32'}
{'股票名称': '易基军工B', '股票代码': '502005', '价格': '1.10', '升跌': '-0.09', '涨跌幅': '-7.28%', '最高': '1.18', '最低': '1.10', '今开': '1.18', '昨收': '1.18', '成交额': '21.57万', '成交量': '1894手', '净值': '1.0703', '折价率': '2.31'}
{'股票名称': '国企改A', '股票代码': '502007', '价格': '0.97', '升跌': '0.00', '涨跌幅': '+0.10%', '最高': '0.97', '最低': '0.97', '今开': '0.97', '昨收': '0.96', '成交额': '1.06万', '成交量': '110手', '净值': '1.0200', '折价率': '-5.29'}
{'股票名称': '国企改B', '股票代码': '502008', '价格': '0.70', '升跌': '-0.02', '涨跌幅': '-2.78%', '最高': '0.72', '最低': '0.70', '今开': '0.72', '昨收': '0.72', '成交额': '4286', '成交量': '59手', '净值': '0.6534', '折价率': '7.13'}
{'股票名称': '港股高C', '股票代码': '501306', '价格': '0.84', '升跌': '-0.02', '涨跌幅': '-2.66%', '最高': '0.84', '最低': '0.84', '今开': '0.84', '昨收': '0.87', '成交额': '1.69万', '成交量': '200手', '净值': '0.8580', '折价率': '-1.75'}
{'股票名称': '证券分级', '股票代码': '502010', '价格': '0.84', '升跌': '-0.03', '涨跌幅': '-4.02%', '最高': '0.87', '最低': '0.83', '今开': '0.87', '昨收': '0.87', '成交额': '154.18万', '成交量': '1.81万手', '净值': '0.8394', '折价率': '-0.41'}
{'股票名称': '证券A', '股票代码': '502011', '价格': '0.96', '升跌': '--', '涨跌幅': '0.00%', '最高': '0.96', '最低': '0.96', '今开': '0.96', '昨收': '0.96', '成交额': '220.61万', '成交量': '2.29万手', '净值': '1.0173', '折价率': '-5.44'}
{'股票名称': '一带一路', '股票代码': '502013', '价格': '1.01', '升跌': '-0.03', '涨跌幅': '-2.51%', '最高': '1.03', '最低': '1.01', '今开': '1.02', '昨收': '1.03', '成交额': '16.64万', '成交量': '1632手', '净值': '1.0150', '折价率': '-0.59'}
